ドメイン,カテゴリー,コード,コードの解説（医学的・リハビリテーション的視点）,ゲームへの応用,ゲームへの応用の具体例
,,b167 言語に関する精神機能,言語理解と表出。多言語機能や失語症も含む。,翻訳スキルや交渉システムで活用。,RPGの翻訳魔法、交渉・説得イベント成功率。
,,b172 計算機能,数的処理・暗算・数量感覚。,錬金・クラフト・経営システムに反映。,『ドラクエ』の錬金大成功率、経営SLGの利益最適化。
,,b176 複雑な運動を順序立てて行う精神機能,動作の系列化能力。演奏・料理などに必要。,連続アクションや楽器演奏を再現。,『太鼓の達人』の連打精度、料理ミニゲームの手順判定。
,,b180 自己と時間の経験の機能,自己認識・時間感覚・現実感の維持。,時間ループや自己アイデンティティの揺らぎ演出。,『ゼルダの伝説 ムジュラの仮面』の時間ループ、タイムリープ系シナリオ。
,感覚機能と痛み,b210 視覚機能,視覚の鋭敏さや視野の広さ、視力・色覚など「見る」能力全般。臨床では視覚障害や視野狭窄が問題となる。,命中率・回避率・探索距離などの基本パラメータに直結。,FPSでのスコープ視認距離、『ポケモン』の命中率変化、暗視ゴーグルでの視野拡張。
,,b220 目とそれに付属する構造に関連した感覚,眼精疲労、眼痛、光過敏などの不快感。臨床ではVDT症候群や眼疾患で重要。,視覚使用時の負荷・デバフ表現に有効。,長時間プレイによる視界のぼやけ、フラッシュ攻撃での一時的視覚低下。
,,b230 聴覚機能,聴力や音の方向識別、会話理解。難聴や加齢性変化が臨床課題。,足音や環境音の察知、音声認識システムに直結。,『メタルギアソリッド』で敵の足音を察知、ボイスコマンド入力ゲーム。
,,b235 前庭機能,平衡感覚や空間認識。障害があるとめまいや転倒が生じる。,高所移動や旋回射撃の安定性に影響。,空中コンボの成功率、『Apex Legends』でのパルクール安定性。
,,b240 聴覚と前庭の機能に関連した感覚,耳鳴り、圧迫感、動揺病（乗り物酔い）など。,一時的ペナルティや疲労感の演出に適合。,爆発後の耳鳴り演出、長距離移動後の疲労デバフ。
,,b250 味覚機能,甘味・苦味・酸味・塩味などの知覚。摂食や嗜好に影響。,料理や食事イベントの成否に反映。,『モンハン』の食事バフ、毒味イベント、食材識別ミニゲーム。
,,b255 嗅覚機能,匂いの識別。加齢や疾患で低下する。,追跡・罠感知・環境描写に活用。,『ウィッチャー3』での匂い追跡、毒ガス検知イベント。
,,b260 固有受容覚（自己受容覚）,筋肉や関節の位置感覚。障害があると動作の正確性が低下。,剣術・アクロバット・精密操作に直結。,『アサシンクリード』のパルクール操作精度、格闘ゲームの連続技成功率。
,,b265 触覚機能,皮膚での圧覚・触覚の感知。,探索や精密動作の成功率に影響。,ロックピックミニゲーム、被弾時の振動フィードバック。
,,b270 温度やその他の刺激に関連した感覚機能,温度、痛覚以外の刺激感受性。,環境ダメージ耐性や探知に利用。,『スカイリム』の凍傷・火傷ダメージ、熱源探知スキル。
,,b280 痛みの感覚,急性痛・慢性痛・部位痛を含む。リハでは評価や管理が重要。,ダメージ後の行動制限やHP減衰管理に活用。,FPSでの負傷時に視界が赤く揺れる演出、骨折による移動制限。
,音声と発話の機能,b310 音声機能（voice functions）,声の高さ・大きさ・音質など発声機能。疾患では嗄声（声のかすれ）、声量低下などが問題となる。,キャラの声質や声量を数値化し、攻撃や支援スキルの効果に反映。,『モンハン』の咆哮スキル、『ゼルダBotW』での叫び声による威嚇や通知。
,,b320 構音機能（articulation functions）,舌・唇・口蓋の動きにより発音を明瞭にする機能。構音障害は言語療法で扱う領域。,呪文詠唱や説得イベントの成功率に影響。,魔法詠唱時の発声精度で成功／失敗が変わるRPG、交渉シーンで滑舌が良いと成功率アップ。
,,b330 発話の流暢性とリズム機能（fluency and rhythm of speech functions）,吃音・速さ・リズムなどの発話テンポ調整。,NPC会話テンポや歌唱／ラップ要素に活用。,『パラッパラッパー』のラップ判定、『シーマン』の対話速度調整。
,,b340 代替性音声機能（alternative vocalization functions）,通常発話以外の音声（電子音、動物の鳴き声、合成音声など）。,動物キャラやロボットキャラの個性付け、言語バリアの演出。,『スターウォーズ』のR2-D2の電子音、手話キャラが音声合成を使うシーン。
,心血管系・血液系・免疫系・呼吸器系の機能,b410 心機能,心臓の拍動や循環を維持する機能。臨床では心不全や不整脈などで低下。,最大HPやスタミナ回復の基礎指標。,『FF』のHPゲージ、マラソン時の疲労蓄積イベント。
,,b415 血管の機能,血管の収縮・拡張、循環維持。血流障害や末梢循環不全が臨床課題。,出血量、自己治癒力、環境耐性の調整。,寒冷地での体力減少、ポーション吸収速度の変化。
,,b420 血圧の機能,血圧調整機能。異常では立ちくらみや頭痛。,高負荷時のデバフやリソース管理。,立ちくらみによる視界揺れ、ドーピングでの一時的強化と反動。
,,b430 血液系の機能,酸素・栄養輸送や凝固、免疫の基盤。,出血状態や回復速度に直結。,『ダークソウル』の出血ダメージ、ポーション回復量補正。
,,b435 免疫系の機能,外敵（病原体・毒）から身を守る機能。,病気・呪い・毒への耐性。,『エルデンリング』の腐敗／毒状態、『ポケモン』の状態異常耐性。
,,b440 呼吸機能,酸素摂取と二酸化炭素排出。呼吸不全で低下。,水中・毒霧・宇宙空間での耐久に直結。,『ゼルダBotW』の息止め潜水、毒霧ダメージゾーン。
,,b445 呼吸筋の機能,横隔膜・肋間筋などの筋力。,重装備時の持久行動や息切れに影響。,鎧装備時にスタミナ消費増、『モンハン』での息切れモーション。
,,b450 その他の呼吸機能,咳反射や痰排出など特殊な呼吸反応。,感染・窒息イベントのトリガー。,咳き込みで敵に気付かれる、感染進行イベント。
,,b455 運動耐容能,長時間運動に耐える力。臨床では6分間歩行などで評価。,スタミナ上限や持久戦の基盤。,『モンハン』の長時間狩猟での疲労、ダッシュ持続判定。
,,b460 心血管系・呼吸器系に関連した感覚,息切れ・動悸・胸痛といった自覚症状。,特殊環境下でのデバフ管理。,高山病での視界ぼやけ、毒霧での動悸演出。
,消化器系・代謝系・内分泌系の機能,b510 摂食機能,咀嚼・嚥下。嚥下障害は誤嚥性肺炎のリスク。,食事・アイテム摂取の可否管理。,『モンハン』の食事でバフ、『ゼルダ』の料理モーション成功率。
,,b515 消化機能,胃や腸での消化機能。食後症状や不快感を含む。,食事バフや食中毒デバフに反映。,食後のHP回復タイム、ランダム食中毒イベント。
,,b520 同化機能,栄養・薬効の吸収効率。,ポーション効果倍率やステータス上昇量。,吸血鬼キャラの特殊吸収、共生寄生システム。
,,b530 体重維持機能,摂食と代謝のバランス。痩せ・肥満に直結。,体格変化や重量制限に影響。,サバイバルゲームでの餓死・肥満、所持重量オーバー。
,,b535 消化器系に関連した感覚,腹痛・吐き気・満腹感。,状態異常やデバフに利用。,毒キノコ摂取後の腹痛、満腹による行動制限。
,,b540 全般的代謝機能,エネルギー消費と代謝全般。,回復・疲労・毒耐性の基盤。,老化イベント、毒物分解速度、持続回復スキル。
,,b545 水分・ミネラル・電解質バランスの機能,水分・塩分バランス。脱水や痙攣のリスクあり。,サバイバル環境での体調管理。,砂漠での脱水、スポーツドリンクによる即時回復。
,,b550 体温調節機能,外部環境や発熱時の体温維持。,環境耐性や装備効果に直結。,『スカイリム』の寒冷地システム、火山地帯での熱中症。
,,b555 内分泌腺機能,ホルモン分泌（アドレナリン・コルチゾールなど）。,覚醒モードやストレスイベント管理。,『FF』のリミットブレイク、ストレスでうつ状態になるサバイバルゲーム。
,尿路・性・生殖の機能,b610 尿排泄機能,尿の生成・排出に関わる機能。臨床では腎疾患や排泄障害で重要。,サバイバル系で体内毒素排出や水分バランス管理。,脱水時にスタミナ回復が低下、中毒ダメージが増大。
,,b620 排尿機能,排尿動作を制御する機能。尿閉・頻尿などの問題が臨床的課題。,排尿困難や頻尿デバフ、ステルス中のリスク要素。,排尿音で敵に気付かれるイベント、寒冷地で頻尿デバフ。
,,b630 排尿機能に関連した感覚,尿意や不快感を感じる感覚。,「尿意ゲージ」や行動制限のペナルティ要素に活用。,尿意が限界で命中率低下、会話選択肢制限が発生。
,,b640 性機能,性的行動や性反応に関する機能。,恋愛・ロマンスシステムや魅了状態管理。,魅了ステータス、フェロモンスキルの効果量。
,,b650 月経の機能,月経周期やそれに伴う体調変動。,ライフシムで周期管理やデバフ表現。,生理周期で腹痛・気分変化、薬草で症状緩和。
,,b660 生殖の機能,妊娠・出産に関わる機能。,血統継承や子育てシステムに直結。,『牧場物語』の出産イベント、王朝シミュレーションの継承。
,,b670 性と生殖に関連した感覚,性的興奮、疼痛、産後の不快感など。,バフ／デバフやロマンシング演出に利用。,興奮値上昇で交渉成功率増、産後ペナルティによる行動制限。
,神経筋骨格と運動に関する機能,b710 関節の可動性の機能,関節の動かせる範囲（ROM）。,攻撃速度・射程・アクロバット成否に影響。,捻挫で可動域低下、ストレッチで一時的強化。
,,b715 関節の安定性の機能,関節が外れにくい、崩れにくい耐性。,武器ブレやガード成功率に直結。,膝崩れイベント、重武器使用時の安定性。
,,b720 骨の可動性の機能,骨格変形や骨折リスクに関わる。,骨格変化ギミックや行動制限に活用。,骨折で移動制限、モンスターの姿勢変化。
,,b730 筋力の機能,筋肉の発揮する力。,攻撃力や装備重量制限に直結。,ステータス「STR」、オブジェクト押し引き可否。
,,b735 筋緊張の機能,筋肉の緊張状態。低下や過剰で異常あり。,ガードや反動制御、硬直デバフに利用。,麻痺で硬直、過緊張でパリィ判定成功率が変動。
,,b740 筋の持久性機能,筋肉が疲労に耐える能力。,スタミナや長時間アクション管理。,重装備で疲労度増、ジャンプ連続でスタミナ消費。
,,b750 運動反射機能,外的刺激に対する素早い反応。,カウンターやジャストガード判定。,『ソウルシリーズ』の受け身、超反応スキル発動。
,,b760 随意運動の制御機能,意図的に動きを調整する能力。,入力応答性やエイム精度の管理。,コンボの繋ぎ成功率、キャンセル操作の判定。
,,b770 歩行パターン機能,歩行速度やリズムの調整。,ステルス移動や方向転換に利用。,足音量が増えると敵に気付かれる、重装備で歩行速度低下。
,,b780 筋と運動機能に関連した感覚,筋疲労や痛覚、位置覚。,長時間戦闘後のリアルなデバフ演出。,震えモーション、命中率の低下、負傷後のブレ増大。
,皮膚および関連構造,b810 皮膚の保護機能,外傷や環境ダメージからの防御。,防具やバリアの基礎パラメータ。,毒液耐性、防具による紫外線カット効果。
,,b820 皮膚の修復機能,外傷治癒や皮膚再生能力。,戦闘後の自然回復や包帯効果。,出血デバフの持続時間、ポーション効果の倍率。
,,b840 皮膚に関連した感覚,皮膚で感じる刺激（痛み・熱冷など）。,被弾時リアクションや特殊攻撃の演出。,氷属性攻撃で凍傷、炎攻撃で火傷演出。
,,b850 毛の機能,毛髪・体毛の保護・感覚機能。,外見、耐候性、感覚器として活用。,保護色でステルス、ヒゲで水流検知。
,,b860 爪の機能,爪による保護や操作機能。,攻撃や採取・クラフトに直結。,爪攻撃でクリティカル率変動、爪割れで命中率低下。
身体構造,神経系の構造,s110 脳の構造,認知・感情・運動制御など中枢神経の基盤。外傷や疾患で損傷すると多機能に影響。,キャラクターの知能・感情制御・魔法適性のベース。,INT（知力）やWIS（賢さ）の基礎値、サイキック攻撃耐性。
,,s120 脊髄と関連部位の構造,感覚・運動情報を伝達する中枢路。損傷で四肢麻痺や感覚消失が生じる。,運動・感覚全般の基盤。義体化による強化差分も表現可。,サイバーパンク系ゲームでの義体化、背骨損傷による操作制限。
,,s140 交感神経系の構造,自律神経のうち「闘争・逃走」を担う。,緊張・覚醒モードや戦闘中の強化に利用。,バーサークモード、危機察知で一時的に能力上昇。
,,s150 副交感神経系の構造,自律神経のうち「休息・回復」を担う。,回復・休息フェーズのパラメータ。,宿屋での回復効率、リラックス状態での集中回復バフ。
,目・耳および関連部位の構造,s220 眼球の構造,視覚の器官。視力・暗視・色覚に直結。,照準精度や暗視能力の基盤。,スナイパーライフルの命中精度、暗視ポーションの効果量。
,,s230 目の周囲の構造,まぶたや眼筋による眼球運動や防御。,瞬き・視線移動の判定に利用。,ステルス中に瞬きで視界がぼやける演出。
,,s240 外耳の構造,音の集音器官。,音の方向感知や察知距離に影響。,足音や環境音の察知範囲。
,,s260 内耳の構造,聴覚＋平衡感覚を担う。,音声処理やバランス制御の基盤。,ステルス中の音感知、ジャンプ着地の安定性。
,音声と発話に関わる構造,s320 口の構造,舌・歯・口蓋など。発音や咀嚼に関与。,詠唱、滑舌、咀嚼モーションに活用。,魔法詠唱成功率、食事ミニゲームの速度、キス攻撃命中率。
,,s330 咽頭の構造,呼気・共鳴腔。発声や嚥下に関与。,音響やスタミナ系ギミックに直結。,笛の共鳴効果範囲、長台詞での息切れ判定。
,,s340 喉頭の構造,声帯を含む発声器官。,咆哮スキルや歌唱バフに活用。,咆哮で敵を怯ませる、歌唱で味方強化。
,心血管系・免疫系・呼吸器系の構造,s410 心血管系の構造,心臓・血管系の解剖学的基盤。,HPやスタミナ容量の「器」として扱える。,最大HP上限、ドーピング副作用判定。
,,s420 免疫系の構造,免疫器官全般。,状態異常耐性の基盤。,ゾンビ感染阻止イベント、毒・呪いへの耐性。
,,s430 呼吸器系の構造,肺や気道の器官。,呼吸リソースや酸素耐性。,水中潜水の制限、毒ガスゾーンでの耐性。
,消化器系・代謝系・内分泌系に関連した構造,s530 胃の構造,消化器官の一部。,食事バフや中毒デバフの基盤。,食事回復量、食中毒発生率。
,,s540 腸の構造,栄養・薬効の吸収器官。,ポーション持続時間や寄生イベント進行。,サバイバルでの栄養吸収効率、感染進行度。
,,s550 膵臓の構造,インスリン分泌による代謝調整。,エネルギー代謝速度の制御。,ダッシュ後の低血糖デバフ、「糖質ブースト」スキル効果。
,,s560 肝臓の構造,解毒・代謝の主要器官。,毒素処理やアルコール耐性。,酒場イベントの酔い判定、回復薬代謝速度。
,,s580 内分泌腺の構造,ホルモンを分泌する器官。,覚醒モードやストレスイベントに関与。,バーサーク発動条件、ストレスによる能力低下。
,尿路性器系および生殖系に関連した構造,s610 尿路系の構造,排尿の器官。,排尿管理や水分バランスの基盤。,サバイバルでの尿排泄による水分管理。
,,s620 骨盤底の構造,骨盤底筋群。排泄・出産に重要。,妊娠・出産イベントや腹圧系スキルに利用。,出産による一時的制限、骨盤底筋トレーニングバフ。
,,s630 生殖系の構造,生殖器官。,妊娠・継承システムや性的異常に直結。,血統継承システム、魅了／不妊イベント。
,運動に関連した構造,s720 肩部の構造,肩関節や周囲組織。,投擲・両手武器の扱いに直結。,弓射程の安定性、肩外傷で投擲精度低下。
,,s730 上肢の構造,腕全般。,剣撃・格闘・射撃の基盤。,義手での強化、武器リーチ差。
,,s740 骨盤部の構造,骨盤・股関節領域。,ジャンプやダッシュの起点。,妊娠時の移動制限、外傷による可動制限。
,,s750 下肢の構造,脚部。,移動速度や踏破力の基盤。,義足強化ブーツ、キック攻撃の威力。
,,s760 体幹の構造,背部・腹部。,姿勢制御や装備重量に関与。,重装備時のブレ抑制、受け身判定。
,皮膚および関連部位の構造,s810 皮膚の各部の構造,皮膚組織。,外傷・環境ダメージ耐性の基盤。,火傷耐性、防具やバリアの強度。
,,s830 爪の構造,爬爪・手爪。,素手攻撃や採取に利用。,毒爪強化、爪割れデバフ。
,,s840 毛の構造,毛髪・体毛。,外見・体温調節・擬態センサー。,カメレオン化ステルス、毛皮で寒冷耐性。
活動と参加,学習と知識の応用,d110 注意して視ること,視覚刺激への選択的・持続的注意。視野内の変化検知に関与。,命中率・回避率・発見距離・索敵UIの安定性を制御。,ロックオン維持、索敵サークル拡大、遠距離スナイプ時の照準ブレ低減。
,,d115 注意して聞くこと,聴覚刺激への選択的注意と弁別。,ステルス検知、QTEの音反応、音楽ゲーム判定幅に反映。,足音方向ヒント、物音で警戒度上昇、リズム判定のグレート判定率。
,,d120 目的のある感覚,嗅覚・触覚・内受容・超常的感覚を目的志向で用いる。,追跡・罠探知・魔力感知など特殊センスを数値化。,匂いトレイル可視化、振動で罠察知、魔力反応レーダー。
,,d130 模倣,観察学習により行為を再現する力。,「ラーニング」系、敵技コピー、青魔法の成功率。,ボス技の習得率、再現時の威力係数、入力猶予短縮。
,,d135 反復,練習反復による技能定着。,トレーニング量で“練度”やクールダウン短縮が伸長。,訓練場でのコンボ成功率上昇、詠唱時間短縮、耐久増。
,,d140 読むことの学習,読字の基礎学習。,未知言語UIの解読進度やヒント開示度に反映。,古文書の「？？？」が徐々に文字化、碑文の自動訳解禁。
,,d145 書くことの学習,書字の基礎学習。,呪文式・設計図作成の成功率や品質。,魔法陣の精度で効果量変化、設計図の耐久ボーナス。
,,d150 計算の学習,数概念・初等計算の学習。,経営・交易・パズルの基礎演算精度。,取引での最適価格提示、レシピ材料ロス低減。
,,d155 技能の習得,新規スキル獲得の早さ・コストに関与。,必要経験値、マルチクラス制限、転職ペナルティ緩和。,職業変更時の熟練維持、スキルツリー解放速度上昇。
,,d160 注意を集中すること,集中の持続・選択・切替。,集中ゲージ、照準ブレ、探索時の発見率。,スナイプ集中で手ブレ減、長期探索でレア発見率↑。
,,d163 思考,推論・連想・発想の流暢性。,戦術AI更新頻度、合成最適化、ヒント生成速度。,パズルの自動ヒント出現、魔法コンボ提案。
,,d166 読むこと,実用的読字能力。,弱点情報の読取り速度、ログ解析の成功率。,図鑑弱点の即時開示、端末ログから手掛かり抽出。
,,d170 書くこと,実用的書字能力。,呪文式・設計図の品質、外交文書の説得力。,クラフト品質S到達、手紙で友好度ボーナス。
,,d172 計算,実用的計算能力。,ダメージ期待値計算、経済最適化、錬金歩留まり。,戦闘の予測DPS表示、交易利益の自動最大化。
,,d175 問題解決,代替案生成と解決策選択。,ダンジョンギミック解法、失敗時の復旧案提示。,閉鎖ルートの別解提示、クラフト失敗のリカバリ。
,,d177 意思決定,複数選択肢からの選好決定。,分岐傾向、AI作戦選択、優先順位付け。,道徳選択の傾向値、仲間AIが臨機応変に作戦変更。
,一般的な課題と要求,d210 単一課題の遂行,単独タスクに集中し完了させる。,一点特化場面の成功率・専門技能の熟達度。,ボス戦での単目標DPS最適化、工作単品の成功率↑。
,,d220 複数課題の遂行,同時遂行・注意切替。,マルチタスク戦術、リソース同時管理。,戦闘しながら回復・指示出し、並行クエ進捗維持。
,,d230 日課の遂行,ルーティンの計画・継続。,生活シムのスケジュール管理・習慣バフ。,就寝・食事・訓練で恒常ボーナス、遅刻でデバフ。
,,d240 ストレス等への対処,ストレス耐性・コーピング。,高難度時の性能維持、暴走・崩れ判定。,恐慌防止、士気低下抑制、パニック発生閾値上昇。
,コミュニケーション,d310 話し言葉の理解,口頭言語理解。,ボイス指示の即時理解、聞き取り判定。,戦術指示の反応速度、聞き逃しイベント回避。
,,d315 非言語的メッセージの理解,表情・視線・身振り理解。,警戒度察知、感情読取、説得時の空気読解。,敵の警戒度UI可視化、同僚の不満察知で分岐。
,,d320 手話の理解,手話・規定サイン理解。,サイレント作戦や秘密通信の解読。,軍用ハンドシグナル理解、結社サインを看破。
,,d325 書き言葉の理解,文章読解。,古文書・メモ・ログ解析の成功率。,端末ログからパス発見、暗号書の解読。
,,d330 話すこと,口頭表現の明瞭性・説得力。,交渉・演説・ボイスコマンド成功率。,説得チェック成功、戦闘中の号令バフ。
,,d335 非言語的メッセージの表出,表情・身振りの適切な発信。,ステルスサイン、エモート影響、対人印象。,ハンドサインで無音指示、好感度上昇エモート。
,,d340 手話の表出,手話・規定サインの発信。,サイレント指揮・文化表現の多様化。,無音での隊列変更指示、結社儀礼の遂行。
,,d345 書き言葉の表出,文章作成。,設計図・魔法スクロール・掲示板投稿。,設計図品質でクラフト性能↑、暗号文作成。
,,d350 会話,小規模対話の相互調整。,交渉・親密度・情報取得効率。,会話で好感度上昇、情報解禁フラグ獲得。
,,d355 ディスカッション,集団討議での整理・合意形成。,作戦会議のリーダー適性・影響力。,票集めイベント成功、評議会での可決率。
,,d360 コミュニケーション用具・技法の利用,媒介機器・技法の熟達。,無線・暗号・ホロ通信・妨害の成功率。,長距離指揮の遅延減、暗号解読、通信ジャミング成功。
,運動・移動,d410 基本的な姿勢の変換,立つ・座る・伏臥などへの切替。,姿勢切替速度、起き上がり・回避ロール。,受け身→起き上がり短縮、伏せ→立ちの発見回避。
,,d415 姿勢の保持,姿勢を安定して維持する。,スナイプ静止、ガード継続、壁張り付き。,照準安定時間、ガード崩れ耐性、スタミナ消費率。
,,d420 乗り移り（移乗）,安全に位置・媒体を移る。,乗馬・車両搭乗・縁移り成功率。,パルクールで手すり乗り移り成功、馬への素早い騎乗。
,,d430 持ち上げることと運ぶこと,物の把持・運搬。,重量上限、移動速度低下、投擲距離。,所持重量によるスタミナ消費、投擲ダメージ増減。
,,d435 下肢を使って物を動かすこと,脚での押し・蹴り操作。,キック系操作、障害物移動、球技。,蹴破り判定、サッカーミニゲーム精度。
,,d440 細かな手の使用,精密手指操作。,ロックピック、細工、分解整備。,ピッキング成功率、銃整備で故障率低下。
,,d445 手と腕の使用,粗大上肢動作。,近接攻撃、反動制御、道具操作速度。,両手武器の振り速度、射撃反動の制御度。
,,d450 歩行,通常歩行の安定・速度・省エネ。,基本移動の速度・足音量・段差判定。,ステルス足音低減、段差越え成功、疲労消費。
,,d455 移動,全身移動の機敏さ。,ダッシュ・ジャンプ・回避の挙動。,ドッジ無敵フレーム、加減速レスポンス。
,,d460 さまざまな場所での移動,環境適応移動（泳ぐ・登る等）。,地形効果耐性、環境デバフ低減。,砂漠・雪原での消耗軽減、低重力での滞空延長。
,,d465 用具を用いての移動,補助具・乗具の操作。,グラップル、メカスーツ、騎乗具操作熟達。,ロープスイング到達距離、メカスーツ機動力向上。
,,d470 交通機関や手段の利用,交通機関を利用者として扱う。,ファストトラベル解禁、乗車交渉、潜入輸送。,運賃交渉成功、貨物に紛れて移動成功率↑。
,,d475 運転や操作,交通機関を操縦者として運行。,最高速・操舵安定・燃費・機動力。,レースのラップ短縮、空戦での回避機動成功。
,,d480 交通手段として動物に乗ること,騎乗動物の扱い。,騎乗戦闘精度、落馬耐性、特殊アクション成功率。,チョコボのジャンプ・突進成功、ドラゴンでの空中制御。
,セルフケア,d510 自分の身体を洗うこと,入浴・シャワー・部分清拭などで衛生を保つ行為。感染予防や皮膚トラブル防止に直結。,「衛生度」指標と病気・魅力度・好感度の係数化。,汚れ状態でNPC好感度↓、入浴で病気発生率↓・魅力一時↑。
,,d520 身体各部の手入れ,爪切り・髪整え・創傷ケア・衣類手入れなどのセルフケア。,装備耐久維持、外見変化、微小ステータス調整。,ひげ剃りで清潔度↑、包帯交換で感染リスク↓、装備手入れで耐久回復。
,,d530 排泄,排尿・排便の管理。未処理は皮膚障害や衛生低下につながる。,生理的ニーズと満腹・水分ゲージ連動、未処理デバフ。,処理遅延で不快感/衛生↓、ステルス中のリスク（音・匂い）発生。
,,d540 更衣,衣服の着脱・適合。,変装成功率、装備着脱速度、装備適合度の係数。,重装備着脱に時間ペナルティ、コーデ一致で魅力度ボーナス。
,,d550 食べること,摂食動作と栄養摂取。,空腹回復・料理バフ・毒判定の制御。,好物で追加バフ、腐敗食材で中毒、食事前準備で戦闘準備度↑。
,,d560 飲むこと,水分・飲料・薬液の摂取。,脱水・酩酊・薬効発現時間の管理。,砂漠で水分補給不足→スタミナ↓、酒で命中↓/士気↑、ポーション即効性。
,,d570 健康に注意すること,服薬・予防接種・睡眠・運動などの自己健康管理。,自然回復速度、長期デバフ耐性、生活イベント効果の統合。,就寝品質で翌日の集中バフ、ワクチンで感染確率↓。
,家庭生活,d610 住居の入手,住居の確保・維持・改善。,拠点解放・耐久/安全/利便の評価値。,家購入でファストトラベル開放、要塞強化で襲撃耐性↑。
,,d620 物品とサービスの入手,購買・採取・交換・依頼達成による調達。,価格交渉・希少ドロップ・報酬取引の成功率。,値切り成功で価格↓、希少素材の入手率↑、クエ報酬上振れ。
,,d630 調理,食材選択・加工・加熱の技能。,料理品質とバフ量、スタミナ回復量、保存効率。,高品質料理で長時間バフ、保存食で重量/劣化軽減。
,,d640 調理以外の家事,掃除・洗濯・修繕・整理整頓。,拠点ボーナス（衛生・士気）と装備耐久回復速度。,掃除で衛生度↑→病気率↓、修繕で家具/装備耐久回復。
,,d650 家庭用品の管理,在庫把握・配置最適化・メンテ。,収納効率、耐久維持、素材ロス率の低減。,倉庫拡張で所持限界↑、管理上手でクラフト失敗ロス↓。
,,d660 他者への援助,看護・救急・支援の遂行。,応急手当速度、バフ系アイテム効果時間、評判獲得量。,蘇生速度短縮、治療で住民好感度↑、支援でパーティ連携ボーナス。
,対人関係,d710 基本的な対人関係,挨拶・礼儀・基本的応対。,初期友好度、商談開始補正、協力度。,初対面で友好度ボーナス、取引開始時の信頼補正↑。
,,d720 複雑な対人関係,交渉・説得・調整・裏工作。,派閥影響力、政治/恋愛分岐、長期関係管理。,評議会で可決率↑、恋愛フラグ進行、派閥間仲介成功。
,,d730 よく知らない人との関係,初対面相手への接し方・信用獲得。,交渉開始ハンデ、潜入時の警戒度。,見知らぬ街で怪しまれにくい、検問通過率↑。
,,d740 公的な関係,組織内の儀礼・序列遵守。,指揮権限、儀典失礼判定、昇進条件。,階級で命令が通る、式典での失点で評価↓。
,,d750 非公式な社会的関係,友人・地区ネットワーク等の緩いつながり。,噂拡散速度、協力ボーナス、酒場情報入手率。,住民噂でクエ解禁、仲間ボーナス発生。
,,d760 家族関係,家族の絆・役割・資源共有。,家族イベント頻度、遺産・家名評判、技能継承。,家名で商談有利、血縁技能の一部自動継承。
